ticker,model,aic,bic,ll,converged,mu,omega,alpha,beta,gamma,persistence
ABEV3.SA,"GARCH(1,1)",11303.893929699814,11336.058637894657,-5646.946964849907,True,-2.824696446162929e-05,0.002221866950776881,0.006426117153449787,0.9875453960315771,0.006234864893085051,0.9970889456315694
B3SA3.SA,"GARCH(1,1)",14788.01961531752,14820.184323512363,-7389.00980765876,True,0.0034985102752717713,0.003043748393134976,0.003121892332648309,0.9918256400360393,0.006351558862017333,0.9981233117996963
BBAS3.SA,"GARCH(1,1)",12191.300782999067,12223.46549119391,-6090.650391499534,True,0.015320075541216022,0.0021904674187460675,0.011455993961445466,0.9860575078663312,0.00011306142307724774,0.9975700325393153
BBDC4.SA,"GARCH(1,1)",12683.693779063236,12715.85848725808,-6336.846889531618,True,0.004174563147696398,0.0023223894040851163,6.063264405876284e-09,0.991272008430282,0.01312584408993741,0.9978349365385151
CMIG4.SA,"GARCH(1,1)",12554.870400723892,12587.035108918735,-6272.435200361946,True,0.031369454625856025,0.00523720028986232,0.012414157999500684,0.9810307846046198,0.001741768769531142,0.994315826988886
EGIE3.SA,"GARCH(1,1)",9375.676051994065,9407.840760188908,-4682.838025997033,True,0.00579164371781493,0.0033499044709561056,0.009323690785334082,0.9828123964093612,0.0014239337255674647,0.9928480540574791
GGBR4.SA,"GARCH(1,1)",14420.68170369928,14452.846411894123,-7205.34085184964,True,0.015324582504645315,0.001534243099082202,0.0035474549489249688,0.991603567671036,0.007805088644823737,0.9990535669423728
ITUB4.SA,"GARCH(1,1)",11719.602549917243,11751.767258112086,-5854.801274958621,True,0.0177761427496739,0.001517037524764945,0.0007243154192732876,0.9920606197796155,0.010878886535622705,0.9982243784667001
LREN3.SA,"GARCH(1,1)",16470.86176873806,16503.026476932904,-8230.43088436903,True,-0.02859378268007921,0.01733744973670109,0.0028077671026476804,0.9831902443578099,0.012152842294308162,0.9920744326076116
PCAR3.SA,"GARCH(1,1)",17932.35632629358,17964.52103448842,-8961.17816314679,True,-0.02330172253110321,0.061889981255304025,0.014439901125250128,0.960585194609341,0.009020266448656677,0.9795352289589195
PETR4.SA,"GARCH(1,1)",13655.19866853537,13687.363376730213,-6822.599334267685,True,0.030039495723243825,0.0032794785905395883,0.005587421771843991,0.9868080948125246,0.010946970695273192,0.9978690019320052
RADL3.SA,"GARCH(1,1)",13200.81229329047,13232.977001485313,-6595.406146645235,True,0.0037642478139439622,0.0011360714759104586,1.637455690845873e-12,0.9952642361713977,0.00734405057718434,0.9989362614616273
RAIL3.SA,"GARCH(1,1)",13643.03366712853,13675.198375323373,-6816.516833564265,True,-0.016431430488620783,0.0037090793522609514,0.0,0.9913665899098671,0.010905821121218554,0.9968195004704764
RENT3.SA,"GARCH(1,1)",15289.65467804096,15321.819386235804,-7639.82733902048,True,-0.0019469278900685373,0.015496341922633163,0.0001292444678794982,0.9821234505751573,0.018014052642386678,0.9912597213642301
SANB11.SA,"GARCH(1,1)",12702.38647578206,12734.551183976902,-6346.19323789103,True,-0.007658922327097456,0.0023357132110060964,1.408363127617735e-09,0.9913023666233658,0.012669889776724336,0.9976373129200911
SUZB3.SA,"GARCH(1,1)",12770.405649463848,12802.570357658691,-6380.202824731924,True,0.003907126250903833,0.00045476451913528025,0.0022634903856434,0.9949535026691567,0.004641072068483107,0.9995375290890417
TAEE11.SA,"GARCH(1,1)",7895.202866722974,7927.367574917817,-3942.601433361487,True,0.020193222823147013,0.002383423342569672,0.012183929657256162,0.9815712500942868,-0.0018356407595303626,0.9928373593717778
VALE3.SA,"GARCH(1,1)",13080.286269361372,13112.450977556215,-6535.143134680686,True,0.02154592518016919,0.003733818533621292,0.005863128495046105,0.9850789652517171,0.012483208262044392,0.9971836978777854
WEGE3.SA,"GARCH(1,1)",13331.152000153837,13363.31670834868,-6660.576000076919,True,0.02751003545560898,0.0018284746180911025,0.0069640673770251914,0.9909375043381309,0.0007066210134831494,0.9982548822218976
