Asset,GARCH_AIC,GPD_Left_xi,GPD_Left_sigma,GPD_Right_xi,GPD_Right_sigma
ABEV3.SA,5696.158570666995,-0.6293519956719718,1.6033123971854037,-0.2564077752258904,1.4607364966188299
B3SA3.SA,9506.42202137699,-0.8,1.6674424560163787,-0.5427196000854084,1.6887945247188783
BBAS3.SA,6581.698234453512,-0.5917015512074162,1.7167025058031808,-0.3194942315005842,1.4099780731100025
BBDC4.SA,5166.992162238623,-0.533788769091049,1.6504852175093094,-0.31938725180841887,1.4788001849058015
CMIG4.SA,6501.0881273148625,-0.6582937140472951,1.6547908654206605,-0.636687953308134,1.5487789685070186
EGIE3.SA,-18229.893413239748,0.31745734859938546,0.7295236248968371,0.20701894100668583,0.8641068682965838
GGBR4.SA,6645.896788392524,-0.6715678075758866,1.7792090738722832,-0.5367165367299287,1.7719415766410875
ITUB4.SA,4609.564061087296,-0.5647685246556263,1.449485458800829,-0.6384920916387058,1.7228186483181875
LREN3.SA,9273.129117603374,-0.6580384412785865,1.6344004622984063,-0.6752428509453452,1.607723243747967
PCAR3.SA,10106.312653419807,-0.5667305519517035,1.521004866568248,-0.7659283824421543,2.3477648184547046
PETR4.SA,6349.412560963021,-0.5618875775131276,1.8290265412350692,-0.5908382079253811,1.6323031891569664
RADL3.SA,17763.87276902321,-0.5604225116543908,1.5231170676775234,-0.6119455160956173,1.5121036854935865
RAIL3.SA,7792.325731305748,-0.6390322836997733,1.4760716230977184,-0.4831253013350847,1.4825894907217179
RENT3.SA,9372.031287309223,-0.5671616830284314,1.4910731735589193,-0.683497376993135,1.8852431239574325
SANB11.SA,7629.470141609341,-0.48705660655606964,1.5107167217522413,-0.4802040418315541,1.4222071878099176
SUZB3.SA,7777.468111093588,-0.20378434546371438,1.5083102974058733,-0.29687114705601014,1.6789840842665
TAEE11.SA,849.9153311730637,-0.4812495752967467,1.4055648959924854,-0.6518346094135503,1.7600446433396408
VALE3.SA,7759.144043515912,-0.5760633136423201,1.422005576935566,-0.5701193542461895,2.0089294529482697
WEGE3.SA,5528.774371901072,-0.5613623906340894,1.6416058450434161,-0.28858121253421265,1.4528212762914277
