,ABEV3.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,CMIG4.SA,EGIE3.SA,GGBR4.SA,ITUB4.SA,LREN3.SA,PCAR3.SA,PETR4.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SUZB3.SA,TAEE11.SA,VALE3.SA,WEGE3.SA
ABEV3.SA,1.0,0.31004366812227074,0.32751091703056767,0.3624454148471616,0.3537117903930131,0.30131004366812225,0.2794759825327511,0.39737991266375544,0.2925764192139738,0.24890829694323144,0.2794759825327511,0.29694323144104806,0.30131004366812225,0.30131004366812225,0.40611353711790393,0.21397379912663755,0.31877729257641924,0.2183406113537118,0.314410480349345
B3SA3.SA,0.31004366812227074,1.0,0.3406113537117904,0.43231441048034935,0.3537117903930131,0.3318777292576419,0.29694323144104806,0.37554585152838427,0.4104803493449782,0.27510917030567683,0.2925764192139738,0.3406113537117904,0.3799126637554585,0.4366812227074236,0.38427947598253276,0.1615720524017467,0.314410480349345,0.25327510917030566,0.3406113537117904
BBAS3.SA,0.32751091703056767,0.3406113537117904,1.0,0.5152838427947598,0.3799126637554585,0.3056768558951965,0.30131004366812225,0.5021834061135371,0.33624454148471616,0.2096069868995633,0.3930131004366812,0.22707423580786026,0.32751091703056767,0.3318777292576419,0.47161572052401746,0.17903930131004367,0.29694323144104806,0.27074235807860264,0.24017467248908297
BBDC4.SA,0.3624454148471616,0.43231441048034935,0.5152838427947598,1.0,0.4017467248908297,0.34934497816593885,0.32751091703056767,0.6637554585152838,0.38427947598253276,0.2576419213973799,0.3231441048034934,0.2925764192139738,0.34934497816593885,0.388646288209607,0.5589519650655022,0.1615720524017467,0.30131004366812225,0.2925764192139738,0.2576419213973799
CMIG4.SA,0.3537117903930131,0.3537117903930131,0.3799126637554585,0.4017467248908297,1.0,0.388646288209607,0.27074235807860264,0.4017467248908297,0.38427947598253276,0.24017467248908297,0.2663755458515284,0.29694323144104806,0.35807860262008734,0.37554585152838427,0.3799126637554585,0.17467248908296942,0.4104803493449782,0.24890829694323144,0.33624454148471616
EGIE3.SA,0.30131004366812225,0.3318777292576419,0.3056768558951965,0.34934497816593885,0.388646288209607,1.0,0.2576419213973799,0.3231441048034934,0.3406113537117904,0.24890829694323144,0.17903930131004367,0.31877729257641924,0.34934497816593885,0.3406113537117904,0.34497816593886466,0.19213973799126638,0.4017467248908297,0.20087336244541484,0.2794759825327511
GGBR4.SA,0.2794759825327511,0.29694323144104806,0.30131004366812225,0.32751091703056767,0.27074235807860264,0.2576419213973799,1.0,0.3318777292576419,0.27074235807860264,0.17467248908296942,0.3056768558951965,0.2314410480349345,0.2576419213973799,0.27510917030567683,0.3406113537117904,0.31004366812227074,0.2096069868995633,0.5152838427947598,0.27074235807860264
ITUB4.SA,0.39737991266375544,0.37554585152838427,0.5021834061135371,0.6637554585152838,0.4017467248908297,0.3231441048034934,0.3318777292576419,1.0,0.3624454148471616,0.24890829694323144,0.33624454148471616,0.2838427947598253,0.3406113537117904,0.37117903930131,0.5851528384279476,0.17903930131004367,0.2925764192139738,0.3056768558951965,0.27074235807860264
LREN3.SA,0.2925764192139738,0.4104803493449782,0.33624454148471616,0.38427947598253276,0.38427947598253276,0.3406113537117904,0.27074235807860264,0.3624454148471616,1.0,0.3231441048034934,0.26200873362445415,0.32751091703056767,0.40611353711790393,0.4847161572052402,0.37554585152838427,0.18340611353711792,0.34497816593886466,0.2314410480349345,0.26200873362445415
PCAR3.SA,0.24890829694323144,0.27510917030567683,0.2096069868995633,0.2576419213973799,0.24017467248908297,0.24890829694323144,0.17467248908296942,0.24890829694323144,0.3231441048034934,1.0,0.22707423580786026,0.2445414847161572,0.25327510917030566,0.2925764192139738,0.25327510917030566,0.14410480349344978,0.27510917030567683,0.12663755458515283,0.22270742358078602
PETR4.SA,0.2794759825327511,0.2925764192139738,0.3930131004366812,0.3231441048034934,0.2663755458515284,0.17903930131004367,0.3056768558951965,0.33624454148471616,0.26200873362445415,0.22707423580786026,1.0,0.2052401746724891,0.24890829694323144,0.30131004366812225,0.3406113537117904,0.25327510917030566,0.2576419213973799,0.2925764192139738,0.24017467248908297
RADL3.SA,0.29694323144104806,0.3406113537117904,0.22707423580786026,0.2925764192139738,0.29694323144104806,0.31877729257641924,0.2314410480349345,0.2838427947598253,0.32751091703056767,0.2445414847161572,0.2052401746724891,1.0,0.29694323144104806,0.35807860262008734,0.2794759825327511,0.19213973799126638,0.28820960698689957,0.16593886462882096,0.3406113537117904
RAIL3.SA,0.30131004366812225,0.3799126637554585,0.32751091703056767,0.34934497816593885,0.35807860262008734,0.34934497816593885,0.2576419213973799,0.3406113537117904,0.40611353711790393,0.25327510917030566,0.24890829694323144,0.29694323144104806,1.0,0.4279475982532751,0.34934497816593885,0.18777292576419213,0.31877729257641924,0.2576419213973799,0.3318777292576419
